Scheme Name,Total Days,Cumulative Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Max Drawdown (%)
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,4601,2.56,0.2,8.78,-0.62,-36.65
Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,4601,550.88,16.04,15.18,0.66,-33.51
HDFC Hybrid Equity Fund - Growth Option - Direct Plan,4601,352.64,12.74,14.28,0.49,-33.56
HDFC Money Market Fund - Growth Option - Direct Plan,4601,139.05,7.17,0.61,1.51,-1.39
Kotak Multi Asset Omni FOF - Direct Growth - Direct,4601,596.29,16.66,9.63,1.02,-22.83
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,4601,601.4,16.73,16.44,0.66,-39.96
SBI Small Cap Fund - Direct Plan - Growth,4601,1455.03,24.34,15.06,1.12,-40.26
quant Mid Cap Fund - Growth Option - Direct Plan,4601,669.76,17.59,15.73,0.73,-33.43
