scheme_code,scheme_name,fund_house,category,sub_category,risk_grade
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme,Small Cap Fund,Very High
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Debt Scheme,Banking and PSU Fund,Moderate
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Equity Scheme,ELSS,Very High
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Equity Scheme,Large Cap Fund,Very High
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Debt Scheme,Money Market Fund,Moderate
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme,Mid Cap Fund,Very High
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Hybrid Scheme,Aggressive Hybrid Fund,Very High
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,Kotak Mahindra Mutual Fund,Other Scheme,FoF Domestic,Very High
